,Hourly AC System Output (W),Hourly Plane of Array Irradiance (W/m2),Hourly Beam irradiance (W/m^2),Hourly Diffuse Irradiance (W/m2),Hourly Ambient Temperature (C),Hourly DC Array output (Wdc),Hourly Cell Temperature (C),Hourly Wind Speed (m/s)
1941,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
1942,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0
1943,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0
1944,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0
1945,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
1946,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
1947,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
1948,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
1949,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
1950,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
1951,31.429,13.157,0.0,16.0,2.0,52.799,0.585,4.0
1952,11.896,8.23,0.0,10.0,3.0,32.9,1.51,4.0
1953,270.043,74.884,0.0,90.0,4.0,296.185,4.005,4.0
1954,448.072,121.585,0.0,145.0,4.0,478.142,5.345,3.0
1955,561.061,152.342,4.0,181.0,5.0,593.786,7.25,3.0
1956,182.569,52.495,0.0,63.0,5.0,206.896,4.83,4.0
1957,295.721,81.602,0.0,98.0,4.0,322.41,4.254,4.0
1958,760.179,203.739,24.0,268.0,3.0,797.895,5.683,5.0
1959,236.294,65.653,0.0,79.0,2.0,261.727,2.156,5.0
1960,420.653,113.302,3.0,145.0,2.0,450.097,2.983,4.0
1961,262.241,71.992,16.0,92.0,1.0,288.218,1.156,4.0
1962,18.817,9.868,0.0,12.0,0.0,39.95,-1.51,3.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1966,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,3.0
1967,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0
1968,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0
1969,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
1970,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0
1971,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0
1972,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0
1973,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0
1974,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
1975,12.378,8.211,0.0,10.0,0.0,33.391,-2.592,1.0
1976,270.831,74.066,0.0,87.0,1.0,296.989,0.781,1.0
